,review,Country,vadar compound,sentiment
0,i got my new macbook pro m  two weeks ago and could not be more happy with it  this machine is absolutely incredible in terms of speed  looks  weight size  display  and battery life   and texture  it feels so good against the skin on my wrists as i type  and basically anything else you can think of  i also love the space gray color  the new keyboard  the touch bar  and the larger trackpad  there are so many options to customize the system to work just the way i like my previous macbook was the      model and it still works today  but after    years it became too slow and the trackpad had trouble clicking  so after a ton of research  i decided to pull the trigger and get the new macbook pro with the m  chip a couple suggestions i am able to give after spending almost two months and probably over    hours researching the new macbook are  go with the standard model of  gb of ram and the     ssd   you can get this on amazon for       vs       at apple   so you get to save    bucks  and you have the added satisfaction of not having to deal with the snobby nerd losers that work in the apple store  who asked me rudely when i went in to get a new laptop  umm  do you have an appointment  well  you re going to have to make an appointment if you want to go in the store   i love apple products and will never use another phone or computer besides the iphone and macbook  but after that experience i will never again give my business to the physical apple stores  i mean  seriously  do you really need me to make an appointment to buy a       laptop  whatever dude anyway  in several youtube videos that compared the  gb ram model along side the   gb ram model  costs     bucks more   the  gb performed just as well in nearly every task   and they really pushed it to the limits  the only reason to pay up for the   gb ram is if you want to edit  k uhd videos or are a super serious music recording artist or highly advanced professional photographer   and even then it s not too much of a difference  for the every day user  me or basically anyone who is not a computer professional  the  gb working with this new m  chip is mind blowing  blows any other laptop on the market completely out of the water  and actually even performs just as well as the          inch macbook pro using the intel chip  as far as the storage goes      ssd is standard   that s what i got   and you can pay     bucks more for     ssd or     bucks more for   tb  but with the cloud storage available now  you don t really need to keep much on the laptop drive  you can just save it to the cloud overall i honestly could go on for hours about every little detail that i absolutely love about this machine  a free one year subscription to apple tv is also another little perk  but i am still mystified every day at how incredible this machine is  i ve been online for over   hours now and its still on     battery  the new retina display is brilliant  everything is perfect  i truly am in love this laptop and would recommend that anyone looking for a new laptop to last a long time and outperform everything else on the market gets the new matchbook    inch m  ,UK,0.996,positive
1,i bought my mac from apple directly not from amazon  this thing is amazing  battery life is awesome  hard to believe that i can work with it all day and do not have to charge at all even with bright screen no issues with speed at all  i use matlab a lot and this computer is even slightly faster than my desktop with    core amd cpu and    gb ram excellent machine  happy i bought it ,UK,0.944,positive
2,i own over    computers and it blows away my   th gen dell xps    i   my surface book    my ryzen   thinkpad  the first week i got it the battery lasted for   days and    hrs of use and still had     left  i felt guilty and charged it  the geekbench   rating beat all those listed laptops and they had    or   gb of memory and the macbook pro m  had only  gb of unified memory  the keyboard felt great  the sound was superb  the screen bright  and it was blazing fast in all i did  i m an it consultant and deal in windows based databases and this mac has now become my daily go to system at home  it has become my new front end ,UK,0.8779,positive
3,it s a mac once you go mac you never go back  this is my second mac my first lasted almost   years ,UK,0.0,negative
4,dead at arrival     kernel error  took it to the apple store they told me looks like a hardware failure and to send it back to amazon ,UK,-0.7964,negative
5,i m going to preface this review with the   thing i dislike so we can get that out of the way i mean let s be honest  that s what most people are looking for when buying a product the down sides it has a standard    mm headphone jack even though apple quit using that on it s handheld products years ago not that i care  it s good that they include the    mm jack but how come they didn t include one for their lightning connector that their headphones come in out of the box  forces you to either change to a standard headphone jack or bt headphones  probably trying to push their airpods line  other than that  i have no issues  it s fast  efficient  reliable and easy to use  if your familiar with ios on these then it ll be a great addition to the tech team you have at home ,UK,0.9167,positive
6,i love my new macbook pro    it s the     and not too small  it s very lightweight   it s so fast   i was using an older macbook pro from mid       it worked well  just so slow  this one flies    i was disappointed that there are no usb ports or cd player  i spent about     at best buy and got an adapter that works very well   ,UK,0.8074,positive
7,the battery lasts forever and its fast  my last macbook had a pretty good battery and worked very well for years too the m  does allow for dual external monitors and there are two usbc ports total  these two things can be worked around with dongles and a video hub but now i have      worth of accessories and a tangled mess on my desk how is a      mac not compatible with dual monitors but my      hp works great with the same monitor setup    i really can t get past that get the intel version with   usb ports and you can use it in your covid home office out of the box ,UK,0.8734,positive
8,there is no fix for this  and now it can t be returned   all that money wasted    there is a vertical black line on the screen   i tried to fix it using tips from youtube videos and none of it worked   proceed with caution ,UK,-0.6597,negative
9,i really wanted to love this laptop  i ve had only macs for years  this was supposed to be an upgrade from my      macbook air  i previously had a          intel based macbook pro for work configured with two hp monitors  no issues with the monitors and connected instantly with zero effort to get the screens to work with the laptop  bought this one and connected to my belkin hub for the hdmis  would only connect a single monitor  googled the issue and found that the new m  apple chip only supports a single monitor  news to me and i guess i should have researched more  however the low rating stems from the fact that this is a pro laptop  a professional would want two monitors and should not have to google whether a pro laptop supports more than   monitor when the intel version does seamlessly  despite this i had planned to keep it and just deal with   monitor because of the cost savings over buying the intel based macbook pro and wanted the longer battery life  now brings me to the issue that made me return the laptop  this laptop just would not configure to show a clear resolution with my monitors  the scale was off and the display just stayed blurry no matter what setting i changed it to on the monitor or the laptop s settings  tried and tried and just gave up  returned this and ordered an intel based     macbook pro  no issues  supports dual monitors  and seamlessly integrated to the laptop  no blurry screen and no having to set or change any settings to get it to work  i am floored that apple would produce a pro for business that only supports a single monitor  i love apple but will not buy anything with their chip until the kinks are worked out ,UK,0.6577,positive
